"No","ID","Site","Name","Plot","Subplot","Micro_plot","Block","Row","Date","year_ID","Sampling_ID","Year","Soil_depth","depth","crop_sampling","cc_variant","Fraction","long","lat","BD","Clay","Silt","Sand","OC","TN","CN_ratio","d13C","d15N","MWD_cor","GMD_cor","DS","DS_pc","OC_Frac","TN_Frac","OC_Frac_pc","TN_Frac_pc"
49,"38-1","A","A38",38,1,NA,2,3,2020-10-19,"20-3",1,2020,1,"0-10",8,5,"bulk",9.02484843835671,52.7630900955127,1.369,8.5954695260385,71.6403825188679,19.7641479550936,2.119,0.167,12.688622754491,-27.3510004717356,6.34180018340407,2.72344499756372,1.55415961815832,NA,NA,NA,NA,NA,NA
50,"38-2","A","A38",38,1,NA,2,3,2020-10-19,"20-3",1,2020,2,"20-30",8,5,"bulk",9.02484843835671,52.7630900955127,1.398,7.83299222858131,71.5459915164159,20.6210162550028,1.648,0.144,11.4444444444444,-27.5858169538741,6.92864412201626,2.58247307373835,1.16915349062357,NA,NA,NA,NA,NA,NA
51,"38-3","A","A38",38,1,NA,2,3,2020-10-19,"20-3",1,2020,3,"30-40",8,5,"bulk",9.02484843835671,52.7630900955127,1.788,7.59783940388815,67.8096594664331,24.5925011296787,1.454,0.128,11.359375,-27.6671570044291,7.14922641428593,3.22197436743277,1.86483642659945,NA,NA,NA,NA,NA,NA
52,"39-1","A","A39",39,1,NA,2,3,2020-10-19,"20-3",1,2020,1,"0-10",8,3,"bulk",9.02495058588994,52.7630380668998,1.253,7.38413103025242,71.6999813788834,20.9158875908642,1.672,0.148,11.2972972972973,-27.3128032655181,6.22306253157456,2.95115535036173,1.40822060137655,NA,NA,NA,NA,NA,NA
53,"39-2","A","A39",39,1,NA,2,3,2020-10-19,"20-3",1,2020,2,"20-30",8,3,"bulk",9.02495058588994,52.7630380668998,1.395,7.3422323598243,71.1820889805467,21.475678659629,1.271,0.119,10.6806722689076,-27.3713484494369,7.22706819065697,2.9738659268014,1.67131680416635,NA,NA,NA,NA,NA,NA
54,"39-3","A","A39",39,1,NA,2,3,2020-10-19,"20-3",1,2020,3,"30-40",8,3,"bulk",9.02495058588994,52.7630380668998,1.735,5.50888915600644,71.0855899447269,23.4055208992666,1.174,0.106,11.0754716981132,-27.3091706790959,6.83720402778301,2.37804646645616,1.59684072624629,NA,NA,NA,NA,NA,NA
55,"40-1","A","A40",40,1,NA,2,3,2020-10-19,"20-3",1,2020,1,"0-10",8,4,"bulk",9.02505272520779,52.7629860403186,1.402,7.99890783583624,72.0111466794405,19.9899454847233,1.804,0.161,11.2049689440994,-27.4766422383442,6.54084925894121,2.55734358725335,1.14739867130283,NA,NA,NA,NA,NA,NA
56,"40-2","A","A40",40,1,NA,2,3,2020-10-19,"20-3",1,2020,2,"20-30",8,4,"bulk",9.02505272520779,52.7629860403186,1.405,8.34490601756618,71.2117553444652,20.4433386379686,1.411,0.127,11.1102362204724,-27.0113694517845,7.03878086493106,3.40142091570241,2.13839673090407,NA,NA,NA,NA,NA,NA
57,"40-3","A","A40",40,1,NA,2,3,2020-10-19,"20-3",1,2020,3,"30-40",8,4,"bulk",9.02505272520779,52.7629860403186,1.851,8.35102586878929,65.0551816852937,26.593792445917,1.584,0.144,11,-27.7003969940669,6.88369173826261,3.31812890239619,1.78393065136912,NA,NA,NA,NA,NA,NA
58,"41-1","A","A41",41,1,NA,2,3,2020-10-19,"20-3",1,2020,1,"0-10",8,2,"bulk",9.02515486627294,52.7629340123076,1.328,8.315498340634,72.0212617787157,19.6632398806503,1.813,0.153,11.8496732026144,-27.2907985978079,6.48343466048128,2.41167159829427,1.28424817514313,NA,NA,NA,NA,NA,NA
