"","depth","Fraction","X","cc_variant","Plot","OC_Frac","OC_Frac_pc","cc_variant.fal","OC_Frac.fal","OC_Frac_pc.fal","OC_ratio.pc","OC_ratio.fal"
"34","0-10 cm","16-8",169,"Oat",22,0.583127139160197,2.50173009996455,"Fallow",0.192121771217712,1.132640338561,303.519551930113,101.369089761404
"35","0-10 cm","16-8",289,"Mix12",37,0.284646945767527,1.48250759245636,"Fallow",0.192121771217712,1.132640338561,148.159651018918,100.349867253895
"36","0-10 cm","16-8",214,"Fallow",25,0,0,"Fallow",0.192121771217712,1.132640338561,0,98.867359661439
"37","0-10 cm","16-8",304,"Phacelia",38,0.183879072104514,1.01310713410693,"Fallow",0.192121771217712,1.132640338561,95.7096485937258,99.8804667955459
"38","0-10 cm","16-8",349,"Mustard",41,0.233468494994532,1.29711848664462,"Fallow",0.192121771217712,1.132640338561,121.521102743721,100.164478148084
"39","0-10 cm","16-8",319,"Clover",39,0.597267344896598,3.50424821778187,"Fallow",0.192121771217712,1.132640338561,310.879574506825,102.371607879221
"40","0-10 cm","16-8",364,"Fallow",42,0.192121771217712,1.132640338561,"Fallow",0.192121771217712,1.132640338561,100,100
"41","0-10 cm","16-8",334,"Oat",40,0.197285522788204,1.05802157424067,"Fallow",0.192121771217712,1.132640338561,102.687749304914,99.9253812356797
"42","0-10 cm","16-8",259,"Mix12",28,0.32581440026729,1.77563412008888,"Fallow",0.192121771217712,1.132640338561,169.587443527198,100.642993781528
"43","0-10 cm","2-1",277,"Mix4",36,2.29110246107484,11.7756151427743,"Fallow",2.30397481568515,11.4193844310946,99.4412979463719,100.35623071168
"44","0-10 cm","2-1",157,"Oat",14,1.88619887931755,9.28449474458756,"Fallow",2.30397481568515,11.4193844310946,81.8671656685032,97.865110313493
"45","0-10 cm","2-1",262,"Mix12",28,2.08961159371868,11.3880345389777,"Fallow",2.30397481568515,11.4193844310946,90.695939013434,99.9686501078831
"46","0-10 cm","2-1",82,"Fallow",9,3.0345515394913,13.6830917898454,"Fallow",2.30397481568515,11.4193844310946,131.70940579873,102.263707358751
"47","0-10 cm","2-1",67,"Mustard",8,2.14174382586856,10.2989668235906,"Fallow",2.30397481568515,11.4193844310946,92.9586474334641,98.879582392496
"48","0-10 cm","2-1",142,"Clover",13,2.31969974979149,11.612792459643,"Fallow",2.30397481568515,11.4193844310946,100.68251328093,100.193408028548
"49","0-10 cm","2-1",187,"Clover",23,1.9479693231077,9.40928962718978,"Fallow",2.30397481568515,11.4193844310946,84.5482038191646,97.9899051960952
"50","0-10 cm","2-1",232,"Mustard",26,2.14777118997912,11.4514426482172,"Fallow",2.30397481568515,11.4193844310946,93.2202546380883,100.032058217123
"51","0-10 cm","2-1",172,"Oat",22,2.16936973036147,9.30702275358567,"Fallow",2.30397481568515,11.4193844310946,94.1577015335713,97.8876383224911
"52","0-10 cm","2-1",292,"Mix12",37,2.23956881423916,11.6641960165266,"Fallow",2.30397481568515,11.4193844310946,97.2045700757005,100.244811585432
"53","0-10 cm","2-1",112,"Mix12",11,2.99085237698082,12.730790106752,"Fallow",2.30397481568515,11.4193844310946,129.812720027125,101.311405675657
"54","0-10 cm","2-1",217,"Fallow",25,2.03836334701399,9.73331047191119,"Fallow",2.30397481568515,11.4193844310946,88.4715984366274,98.3139260408166
"55","0-10 cm","2-1",127,"Phacelia",12,2.31044388398487,11.1413946586454,"Fallow",2.30397481568515,11.4193844310946,100.280778602947,99.7220102275508
"56","0-10 cm","2-1",247,"Mix4",27,2.12834098305933,12.41872823282,"Fallow",2.30397481568515,11.4193844310946,92.3769204667462,100.999343801725
"57","0-10 cm","2-1",367,"Fallow",42,1.83900956055015,10.8417510315271,"Fallow",2.30397481568515,11.4193844310946,79.8189957646422,99.4223666004325
"58","0-10 cm","2-1",322,"Clover",39,1.5368245496998,9.01675729528006,"Fallow",2.30397481568515,11.4193844310946,66.7031835260224,97.5973728641855
"59","0-10 cm","2-1",307,"Phacelia",38,1.64160874298635,9.04467001000788,"Fallow",2.30397481568515,11.4193844310946,71.2511582943746,97.6252855789133
"60","0-10 cm","2-1",202,"Phacelia",24,2.09769797421731,9.77889766090201,"Fallow",2.30397481568515,11.4193844310946,91.0469142256447,98.3595132298074
