"","cc_variant","depth","Fraction","OC_ratio.m","OC_ratio.se","OC_Frac_pc","OC_Frac_pc.fal","OC_ratio.fal"
"48","Mustard","0-10 cm","4-2",91.4895769500228,2.89064327293449,9.74144665802457,10.1248819761701,99.6165646818543
"49","Mustard","0-10 cm","8-4",80.179327313764,7.96623578257203,6.771927400681,8.11336815387892,98.6585592468021
"50","Mustard","0-10 cm","16-8",132.345597976651,6.11664262406959,1.32532045299718,1.132640338561,100.192680114436
"51","Mustard","20-30 cm","<1",93.7299425579079,7.19030251006793,67.0975581572835,68.0896097021151,99.0079484551684
"52","Mustard","20-30 cm","2-1",97.4993608022435,3.60280500401143,11.208719597661,10.8559438652143,100.352775732447
"53","Mustard","20-30 cm","4-2",94.1808612741835,8.43393687556644,10.8684643937992,10.887222651846,99.9812417419533
"54","Mustard","20-30 cm","8-4",101.476885771438,12.9531420649953,8.90394307847985,8.19350330547722,100.710439773003
"55","Mustard","20-30 cm","16-8",96.4742929763129,41.3951804579307,1.92131477277645,1.97372047534731,99.9475942974292
"56","Mustard","30-40 cm","<1",97.9558885527483,9.13824060517653,63.5313439972729,64.6989244838242,98.8324195134486
"57","Mustard","30-40 cm","2-1",100.774896218196,9.62854315495357,11.5536886654759,11.4148513068198,100.138837358656
"58","Mustard","30-40 cm","4-2",97.9891094190446,5.18073633056691,10.8234732753956,10.8518394476656,99.9716338277301
"59","Mustard","30-40 cm","8-4",110.706418469025,6.39627088194996,11.4877581145751,10.0117672489068,101.475990865668
"60","Mustard","30-40 cm","16-8",84.9767537367366,30.3442736694557,2.60373594728039,3.02261751278359,99.5811184344967
"61","Oat","0-10 cm","<1",110.850095278353,8.71282788677984,74.5992387234939,69.9648186593361,104.634420064158
"62","Oat","0-10 cm","2-1",87.6728566519787,3.56418552994589,9.78014599620824,11.4193844310946,98.3607615651137
"63","Oat","0-10 cm","4-2",85.0250499210463,1.19033951863397,8.43071863231641,10.1248819761701,98.3058366561463
"64","Oat","0-10 cm","8-4",71.407972528041,2.84746856082224,5.6575008736224,8.11336815387892,97.5441327197435
"65","Oat","0-10 cm","16-8",171.969703751391,65.8060817321351,1.53239577435909,1.132640338561,100.399755435798
"66","Oat","20-30 cm","<1",90.6173389787774,13.4131403333975,67.9161020460792,68.0896097021151,99.8264923439641
"67","Oat","20-30 cm","2-1",90.5969437883555,9.88147379216285,10.9686091423421,10.8559438652143,100.112665277128
"68","Oat","20-30 cm","4-2",84.514497818767,10.8141940505509,10.3397202338772,10.887222651846,99.4524975820314
"69","Oat","20-30 cm","8-4",98.4021758521786,9.50513547005813,9.03797979382059,8.19350330547722,100.844476488343
"70","Oat","20-30 cm","16-8",82.4744631415914,48.2664571114437,1.73758878388094,1.97372047534731,99.7638683085336
"71","Oat","30-40 cm","<1",116.177081142506,10.0333688719447,67.9840328357294,64.6989244838242,103.285108351905
"72","Oat","30-40 cm","2-1",103.025557336043,8.15110565938999,10.6724964932522,11.4148513068198,99.2576451864324
"73","Oat","30-40 cm","4-2",107.093471353795,18.8787068283854,10.3657826503604,10.8518394476656,99.513943202695
"74","Oat","30-40 cm","8-4",90.9392667624386,27.5294136568321,8.04997972914492,10.0117672489068,98.0382124802382
"75","Oat","30-40 cm","16-8",99.5211126359559,24.7890974092763,2.92770829151305,3.02261751278359,99.9050907787296
"76","Phacelia","0-10 cm","<1",104.897227486071,4.20518335926813,73.0740324904921,69.9648186593361,103.109213831156
"77","Phacelia","0-10 cm","2-1",87.5262837076554,8.56301822272415,9.98832077651843,11.4193844310946,98.5689363454238
"78","Phacelia","0-10 cm","4-2",91.7861026445411,8.82098971130139,9.26640740644704,10.1248819761701,99.1415254302769
"79","Phacelia","0-10 cm","8-4",82.4258937194676,9.91367544471278,6.65869231729635,8.11336815387892,98.5453241634174
"80","Phacelia","0-10 cm","16-8",106.898428754505,47.4518103528175,1.01254700924608,1.132640338561,99.8799066706852
"81","Phacelia","20-30 cm","<1",95.825016308721,7.81496469472482,67.3502390871703,68.0896097021151,99.2606293850552
"82","Phacelia","20-30 cm","2-1",109.685257645252,7.2990365283874,12.3597574980168,10.8559438652143,101.503813632802
"83","Phacelia","20-30 cm","4-2",99.8776737763243,4.7775444771215,11.3210349261213,10.887222651846,100.433812274276
"84","Phacelia","20-30 cm","8-4",88.6016996266043,13.2835332255045,7.64035612611755,8.19350330547722,99.4468528206402
"85","Phacelia","20-30 cm","16-8",64.493588698177,10.8700480692841,1.32861236257411,1.97372047534731,99.3548918872268
"86","Phacelia","30-40 cm","<1",100.54023359897,7.53297424352333,63.7202218472404,64.6989244838242,99.0212973634164
"87","Phacelia","30-40 cm","2-1",100.758558345676,8.40587676120009,11.2709409151214,11.4148513068198,99.8560896083017
"88","Phacelia","30-40 cm","4-2",109.164702892508,9.76659941204322,11.6039199212515,10.8518394476656,100.752080473586
"89","Phacelia","30-40 cm","8-4",105.481053858246,7.05722324511786,10.5651752567053,10.0117672489068,100.553408007799
"90","Phacelia","30-40 cm","16-8",91.1577268433363,26.9933071437096,2.83974205968137,3.02261751278359,99.8171245468978
